Year,NAME,GEOID,PercentUnder18,PercentOver65,PercentAsian,PercentBlack,PercentWhite,PercentHispanic,PercentOther,PercentDroveMoreThan20Minutes,PercentHighSchoolDiploma,PercentAdultsWithAtLeastBachelors,PercentPrivateSchool,PercentDroveAlone,PercentVeteran,PercentEmployed,PercentInternetAccess,PercentVacant,PercentOccupied,PercentOwnerOccupied,PercentNoVehicle
2023,Census Tract 9201; Anson County; North Carolina,37007920100,20.199931058255775,17.580144777662877,0.0,52.22337125129266,36.952774905205096,5.377456049638056,5.446397793864185,60.403863037752416,85.7356608478803,10.523690773067331,0.0,88.93766461808605,14.038876889848812,90.79710144927536,75.63694267515923,13.736263736263737,86.26373626373626,66.0828025477707,4.856687898089172
2023,Census Tract 45; Mecklenburg County; North Carolina,37119004500,20.58252427184466,14.627831715210357,6.310679611650485,62.556634304207115,19.06148867313916,6.990291262135923,5.080906148867314,53.426791277258566,89.5690499510284,19.000979431929483,0.0,87.61682242990653,6.598360655737705,92.56440281030444,61.578171091445434,1.9522776572668112,98.0477223427332,57.9646017699115,15.70796460176991
2023,Census Tract 46; Mecklenburg County; North Carolina,37119004600,19.684447783621337,23.140495867768596,0.4507888805409466,94.4778362133734,2.2539444027047333,2.817430503380917,0.0,50.41736227045075,80.6966618287373,9.240445089501694,0.0,97.66277128547578,8.091674462114124,92.3913043478261,67.17044500419816,9.360730593607306,90.6392694063927,52.141057934508815,17.80016792611251
2023,Census Tract 47; Mecklenburg County; North Carolina,37119004700,16.615946439440048,7.36457699330493,1.8867924528301887,59.5861229458308,31.953743152769327,2.495435179549604,4.077906269020085,34.36928702010969,96.74681753889675,36.633663366336634,0.0,69.6526508226691,1.532846715328467,92.35836627140975,90.0,20.068027210884352,79.93197278911565,54.8936170212766,5.531914893617021
2023,Census Tract 48; Mecklenburg County; North Carolina,37119004800,8.151973441534489,24.935448174105495,0.03688675765400221,85.94614533382516,3.651789007746219,8.520841018074512,1.8443378827001107,28.198433420365536,88.077430708315,14.694236691597009,0.0,79.37336814621409,15.823293172690764,97.3834832379395,53.118712273641854,13.061224489795919,86.93877551020408,38.76592890677398,29.242119382964454
2023,Census Tract 49; Mecklenburg County; North Carolina,37119004900,5.964912280701754,29.82456140350877,0.0,97.01754385964912,2.982456140350877,0.0,0.0,41.935483870967744,80.97014925373134,9.14179104477612,0.0,34.193548387096776,3.544776119402985,94.97907949790795,75.0,5.485232067510549,94.51476793248945,81.25,1.7857142857142856
2023,Census Tract 50; Mecklenburg County; North Carolina,37119005000,25.045306270387822,8.118883653497644,3.769481696266763,68.43059079376586,19.644798840159478,4.131931859369336,4.023196810438565,41.54804270462634,93.8659793814433,47.01030927835051,10.81081081081081,88.25622775800713,4.061895551257253,94.9793266391022,73.01458670988656,1.5948963317384368,98.40510366826156,52.593192868719605,10.615883306320907
2023,Census Tract 51; Mecklenburg County; North Carolina,37119005100,28.846153846153843,9.652366863905325,5.769230769230769,81.61982248520711,9.541420118343195,3.0695266272189348,0.0,62.12952799121844,78.29367382472432,6.210098665118979,0.0,72.1185510428101,1.5072765072765073,90.53728949478749,54.31906614785992,8.279800142755175,91.72019985724482,23.73540856031128,19.299610894941637
2023,Census Tract 52; Mecklenburg County; North Carolina,37119005200,20.53014553014553,11.954261954261955,0.0,69.02286902286903,14.5010395010395,14.137214137214137,2.338877338877339,38.51261620185923,82.0266272189349,26.035502958579883,0.0,79.6812749003984,5.273566249176005,89.3048128342246,77.99315849486888,8.93042575285566,91.06957424714433,29.19042189281642,9.122006841505131
2023,Census Tract 53.01; Mecklenburg County; North Carolina,37119005301,35.60622670467003,3.025652269239202,1.4032010524007894,49.22166191624644,13.396185047138786,35.45275158956369,0.526200394650296,48.72907625542467,67.52839796318058,25.18605562083823,1.9036954087346025,75.5114693118413,2.8941096356826694,98.659169550173,70.1073985680191,2.8405797101449277,97.15942028985506,32.756563245823386,12.649164677804295
2023,Census Tract 53.05; Mecklenburg County; North Carolina,37119005305,28.092287972655416,17.73125400555437,0.0,59.96581926938689,0.8331553086947234,38.47468489638966,0.7263405255287332,61.107313738892685,77.4116031582561,14.452454514246483,0.0,76.55502392344498,9.952465834818776,95.8223162347964,53.341218214074516,7.54510661563696,92.45489338436303,42.6374926079243,10.23063276167948
2023,Census Tract 53.06; Mecklenburg County; North Carolina,37119005306,22.49582637729549,15.191986644407345,0.0,40.651085141903174,8.3889816360601,50.45909849749582,0.5008347245409015,70.23255813953489,65.67164179104478,21.58438576349024,7.228915662650602,73.0232558139535,5.438879913839526,94.84797297297297,59.39716312056738,9.615384615384617,90.38461538461539,47.251773049645394,15.780141843971633
2023,Census Tract 53.07; Mecklenburg County; North Carolina,37119005307,21.738077947228273,4.8656499636891795,4.526748971193416,54.58726700556766,10.602759622367465,26.07116920842411,4.212055192447349,55.85689555683785,78.8670148654078,19.927681799919647,0.0,73.22562031159838,2.462593516209476,97.77418049372724,73.91067538126362,11.603273952816561,88.39672604718344,10.348583877995644,9.15032679738562
2023,Census Tract 53.08; Mecklenburg County; North Carolina,37119005308,34.27685149282668,5.8937572702597905,4.342768514928267,37.14618069018999,3.7999224505622333,51.26017836370686,3.450949980612641,60.71428571428571,68.89185580774367,10.54739652870494,0.0,64.40476190476191,1.1799410029498525,93.7446443873179,56.44171779141104,13.680494263018536,86.31950573698145,6.134969325153374,16.462167689161554
2023,Census Tract 54.03; Mecklenburg County; North Carolina,37119005403,31.015068719986754,8.660374234144726,1.987083954297069,46.51432356350389,11.839708561020036,27.322404371584703,12.336479549594303,61.69507575757576,82.89590091418461,25.626658802713067,3.4891835310537336,80.82386363636364,3.168506961113778,98.96077774052966,78.9070480081716,3.736479842674533,96.26352015732547,63.942798774259444,4.8518896833503575
2023,Census Tract 54.04; Mecklenburg County; North Carolina,37119005404,25.354197504757874,13.40663988158173,3.7217170649185873,57.45400718968069,11.84182702474096,24.614083315711564,2.368365404948192,55.47602004294918,83.97553516819572,23.08868501529052,0.0,90.76592698639942,5.18413597733711,99.1389913899139,72.26045526733722,3.4747061829330605,96.52529381706694,67.97247220751721,6.087877183695077
2023,Census Tract 54.05; Mecklenburg County; North Carolina,37119005405,35.99766627771295,4.084014002333722,0.8168028004667445,70.07001166861143,5.717619603267211,12.922987164527422,10.472578763127188,54.390451832907075,86.59244917715392,42.110358180058086,0.0,74.33930093776641,3.828623518687329,97.51552795031056,90.60509554140127,7.7149155033063925,92.2850844966936,61.22611464968153,8.519108280254777
2023,Census Tract 54.06; Mecklenburg County; North Carolina,37119005406,20.39318479685452,20.996068152031455,0.0,83.40760157273918,9.46264744429882,5.163826998689384,1.9659239842726082,65.68093385214007,91.46043917741373,34.64621819449285,0.17331022530329288,90.6614785992218,5.56470200856108,100.0,76.81071211199027,6.167904054825814,93.83209594517419,52.58673158855751,5.964698721850274
2023,Census Tract 55.08; Mecklenburg County; North Carolina,37119005508,24.325581395348834,14.418604651162791,0.3488372093023256,43.04651162790697,46.2093023255814,7.069767441860465,3.3255813953488373,68.01705756929638,97.2936400541272,47.2936400541272,0.0,96.16204690831557,4.486785494775661,98.33483348334833,91.27388535031848,2.4238657551274083,97.57613424487259,86.43312101910828,1.7197452229299364
2023,Census Tract 55.10; Mecklenburg County; North Carolina,37119005510,37.92433272868619,3.329878206789324,1.1013215859030838,61.298263798911634,8.56439492096398,28.154962425498837,0.881057268722467,69.3790975703818,83.08880308880309,44.813384813384815,0.0,85.80794446586964,6.09476101022751,99.4410569105691,82.66393442622952,8.236179014667169,91.76382098533283,58.64754098360656,4.795081967213115
2023,Census Tract 55.11; Mecklenburg County; North Carolina,37119005511,19.48240767665019,9.450421634195987,3.4893864495492872,66.82175050886886,21.343413783076475,5.902878743820878,2.4425705146845016,62.73333333333333,93.21965083231831,39.87007714169712,6.297709923664121,98.6,7.150595882990249,98.45794392523365,92.94541709577754,12.325056433408578,87.67494356659142,31.92584963954686,4.27394438722966
2023,Census Tract 55.12; Mecklenburg County; North Carolina,37119005512,21.461187214611872,8.016235413495687,1.3360392355826145,69.18653813630982,11.905969896837476,15.592761711483172,1.97869101978691,62.39035087719298,86.4039408866995,34.23645320197045,0.0,79.44078947368422,4.414298018949181,98.87111947318908,78.81392350666093,4.120313143798929,95.87968685620108,66.22260421143102,3.6957455951869362
